,date,Error
0,13569984,13569994
1,13570020,13570024
2,13570056,13570058
3,13570092,13570085
4,13570128,13570128
5,13570164,13570164
6,13570200,13570201
7,13570236,13570235
8,13570272,13570273
9,13570308,13570308
10,13570344,13570340
11,13570380,13570386
12,13570416,13570422
13,13570452,13570462
14,13570488,13570490
15,13570524,13570524
16,13570560,13570560
17,13570596,13570591
18,13570632,13570638
19,13570668,13570665
20,13570704,13570701
21,13570740,13570740
22,13570776,13570785
23,13570812,13570815
24,13570848,13570845
25,13570884,13570883
26,13570920,13570925
27,13570956,13570957
28,13570992,13570991
29,13571028,13571028
30,13571064,13571069
31,13571100,13571111
32,13571136,13571132
33,13571172,13571171
34,13571208,13571206
35,13571244,13571234
36,13571280,13571278
37,13571316,13571313
38,13571352,13571359
39,13571388,13571389
40,13571424,13571418
41,13571460,13571465
42,13571496,13571496
43,13571532,13571526
44,13571568,13571568
45,13571604,13571604
46,13571640,13571638
47,13571676,13571678
48,13571712,13571703
49,13571748,13571748
50,13571784,13571791
51,13571820,13571826
52,13571856,13571863
53,13571892,13571899
54,13571928,13571937
55,13571964,13571961
56,13572000,13572006
57,13572036,13572029
58,13572072,13572071
59,13572108,13572101
60,13572144,13572151
61,13572180,13572188
62,13572216,13572217
63,13572252,13572262
64,13572288,13572287
65,13572324,13572326
66,13572360,13572362
67,13572396,13572393
68,13572432,13572436
69,13572468,13572479
70,13572504,13572501
71,13572540,13572546
72,13572576,13572577
73,13572612,13572622
74,13572648,13572652
75,13572684,13572689
76,13572720,13572725
77,13572756,13572759
78,13572792,13572788
79,13572828,13572836
80,13572864,13572860
81,13572900,13572903
82,13572936,13572941
83,13572972,13572970
84,13573008,13573010
85,13573044,13573051
86,13573080,13573081
87,13573116,13573114
88,13573152,13573140
89,13573188,13573186
90,13573224,13573224
91,13573260,13573260
92,13573296,13573294
93,13573332,13573335
94,13573368,13573368
95,13573404,13573405
96,13573440,13573445
97,13573476,13573474
98,13573512,13573512
99,13573548,13573560
100,13573584,13573590
101,13573620,13573616
102,13573656,13573657
